,Region,Capacity,Present,Date
485,FRIULI VENEZIA GIULIA,479,659,2020-01-31
486,LAZIO,5.246,6.613,2020-01-31
487,LIGURIA,1.104,1.522,2020-01-31
488,LOMBARDIA,6.199,8.583,2020-01-31
489,MARCHE,857,907,2020-01-31
490,MOLISE,270,452,2020-01-31
491,PIEMONTE,3.971,4.517,2020-01-31
492,PUGLIA,2.517,3.869,2020-01-31
493,SARDEGNA,2.710,2.319,2020-01-31
494,SICILIA,6.497,6.547,2020-01-31
495,TOSCANA,3.136,3.572,2020-01-31
496,TRENTINO ALTO ADIGE,506,433,2020-01-31
497,UMBRIA,1.324,1.450,2020-01-31
498,VALLE D'AOSTA,181,245,2020-01-31
499,VENETO,1.942,2.609,2020-01-31
500,ABRUZZO,1.650,2.014,2020-02-29
501,BASILICATA,411,461,2020-02-29
502,CALABRIA,2.735,2.779,2020-02-29
503,CAMPANIA,6.211,7.419,2020-02-29
504,EMILIA ROMAGNA,2.989,3.895,2020-02-29
505,FRIULI VENEZIA GIULIA,479,663,2020-02-29
506,LAZIO,5.244,6.667,2020-02-29
507,LIGURIA,1.104,1.519,2020-02-29
508,LOMBARDIA,6.199,8.720,2020-02-29
509,MARCHE,857,926,2020-02-29
510,MOLISE,270,475,2020-02-29
511,PIEMONTE,3.971,4.553,2020-02-29
512,PUGLIA,2.517,3.863,2020-02-29
513,SARDEGNA,2.710,2.310,2020-02-29
514,SICILIA,6.495,6.590,2020-02-29
515,TOSCANA,3.136,3.590,2020-02-29
516,TRENTINO ALTO ADIGE,506,424,2020-02-29
517,UMBRIA,1.324,1.485,2020-02-29
518,VALLE D'AOSTA,181,239,2020-02-29
519,VENETO,1.942,2.638,2020-02-29
520,ABRUZZO,1.655,1.953,2020-03-31
521,BASILICATA,409,374,2020-03-31
522,CALABRIA,2.731,2.846,2020-03-31
523,CAMPANIA,6.158,6.972,2020-03-31
524,EMILIA ROMAGNA,3.002,3.261,2020-03-31
525,FRIULI VENEZIA GIULIA,479,631,2020-03-31
526,LAZIO,5.209,6.204,2020-03-31
527,LIGURIA,1.117,1.495,2020-03-31
528,LOMBARDIA,6.203,8.095,2020-03-31
529,MARCHE,856,969,2020-03-31
530,MOLISE,266,439,2020-03-31
531,PIEMONTE,3.947,4.507,2020-03-31
532,PUGLIA,2.478,3.574,2020-03-31
533,SARDEGNA,2.710,2.202,2020-03-31
534,SICILIA,6.466,6.218,2020-03-31
535,TOSCANA,3.120,3.471,2020-03-31
536,TRENTINO ALTO ADIGE,497,410,2020-03-31
537,UMBRIA,1.324,1.460,2020-03-31
538,VALLE D'AOSTA,181,227,2020-03-31
539,VENETO,1.946,2.538,2020-03-31
540,ABRUZZO,1.655,1.850,2020-04-30
541,BASILICATA,402,348,2020-04-30
542,CALABRIA,2.706,2.667,2020-04-30
543,CAMPANIA,6.087,6.451,2020-04-30
544,EMILIA ROMAGNA,2.995,3.076,2020-04-30
545,FRIULI VENEZIA GIULIA,473,589,2020-04-30
546,LAZIO,5.192,5.738,2020-04-30
547,LIGURIA,1.111,1.398,2020-04-30
548,LOMBARDIA,6.140,7.333,2020-04-30
549,MARCHE,851,899,2020-04-30
550,MOLISE,268,410,2020-04-30
551,PIEMONTE,3.938,4.190,2020-04-30
552,PUGLIA,2.469,3.406,2020-04-30
553,SARDEGNA,2.679,2.125,2020-04-30
554,SICILIA,6.443,5.833,2020-04-30
555,TOSCANA,3.116,3.256,2020-04-30
556,TRENTINO ALTO ADIGE,497,371,2020-04-30
557,UMBRIA,1.322,1.398,2020-04-30
558,VALLE D'AOSTA,177,211,2020-04-30
559,VENETO,1.917,2.355,2020-04-30
560,ABRUZZO,1.655,1.796,2020-05-31
561,BASILICATA,402,360,2020-05-31
562,CALABRIA,2.706,2.628,2020-05-31
563,CAMPANIA,6.043,6.404,2020-05-31
564,EMILIA ROMAGNA,2.995,3.001,2020-05-31
565,FRIULI VENEZIA GIULIA,464,593,2020-05-31
566,LAZIO,5.178,5.689,2020-05-31
567,LIGURIA,1.111,1.385,2020-05-31
568,LOMBARDIA,6.137,7.283,2020-05-31
569,MARCHE,846,863,2020-05-31
570,MOLISE,268,404,2020-05-31
571,PIEMONTE,3.938,4.165,2020-05-31
572,PUGLIA,2.665,3.418,2020-05-31
573,SARDEGNA,2.615,2.087,2020-05-31
574,SICILIA,6.443,5.860,2020-05-31
575,TOSCANA,3.092,3.226,2020-05-31
576,TRENTINO ALTO ADIGE,497,361,2020-05-31
577,UMBRIA,1.322,1.370,2020-05-31
578,VALLE D'AOSTA,177,198,2020-05-31
579,VENETO,1.918,2.296,2020-05-31
580,ABRUZZO,1.655,1.762,2020-06-30
581,BASILICATA,407,366,2020-06-30
582,CALABRIA,2.709,2.631,2020-06-30
583,CAMPANIA,6.035,6.428,2020-06-30
584,EMILIA ROMAGNA,2.995,3.033,2020-06-30
585,FRIULI VENEZIA GIULIA,464,603,2020-06-30
586,LAZIO,5.183,5.762,2020-06-30
587,LIGURIA,1.111,1.403,2020-06-30
588,LOMBARDIA,6.145,7.349,2020-06-30
589,MARCHE,846,870,2020-06-30
590,MOLISE,268,393,2020-06-30
591,PIEMONTE,3.938,4.176,2020-06-30
592,PUGLIA,2.681,3.434,2020-06-30
593,SARDEGNA,2.611,2.044,2020-06-30
594,SICILIA,6.443,5.920,2020-06-30
595,TOSCANA,3.095,3.209,2020-06-30
596,TRENTINO ALTO ADIGE,497,362,2020-06-30
597,UMBRIA,1.322,1.391,2020-06-30
598,VALLE D'AOSTA,177,192,2020-06-30
599,VENETO,1.919,2.251,2020-06-30
600,ABRUZZO,1.655,1.742,2020-07-31
601,BASILICATA,407,382,2020-07-31
602,CALABRIA,2.710,2.684,2020-07-31
603,CAMPANIA,6.035,6.424,2020-07-31
604,EMILIA ROMAGNA,2.995,3.021,2020-07-31
605,FRIULI VENEZIA GIULIA,464,600,2020-07-31
606,LAZIO,5.212,5.779,2020-07-31
607,LIGURIA,1.118,1.408,2020-07-31
608,LOMBARDIA,6.156,7.418,2020-07-31
609,MARCHE,846,891,2020-07-31
610,MOLISE,268,387,2020-07-31
611,PIEMONTE,3.938,4.183,2020-07-31
612,PUGLIA,2.683,3.413,2020-07-31
613,SARDEGNA,2.611,2.026,2020-07-31
614,SICILIA,6.446,5.896,2020-07-31
615,TOSCANA,3.099,3.203,2020-07-31
616,TRENTINO ALTO ADIGE,497,377,2020-07-31
617,UMBRIA,1.322,1.356,2020-07-31
618,VALLE D'AOSTA,177,171,2020-07-31
619,VENETO,1.919,2.258,2020-07-31
620,ABRUZZO,1.655,1.753,2020-08-31
621,BASILICATA,407,387,2020-08-31
622,CALABRIA,2.710,2.603,2020-08-31
623,CAMPANIA,6.050,6.422,2020-08-31
624,EMILIA ROMAGNA,2.995,3.071,2020-08-31
625,FRIULI VENEZIA GIULIA,464,612,2020-08-31
626,LAZIO,5.213,5.803,2020-08-31
627,LIGURIA,1.120,1.443,2020-08-31
628,LOMBARDIA,6.156,7.569,2020-08-31
629,MARCHE,846,875,2020-08-31
630,MOLISE,268,372,2020-08-31
631,PIEMONTE,3.938,4.235,2020-08-31
632,PUGLIA,2.683,3.463,2020-08-31
633,SARDEGNA,2.611,2.051,2020-08-31
634,SICILIA,6.446,5.816,2020-08-31
635,TOSCANA,3.100,3.229,2020-08-31
636,TRENTINO ALTO ADIGE,497,392,2020-08-31
637,UMBRIA,1.323,1.361,2020-08-31
638,VALLE D'AOSTA,177,178,2020-08-31
639,VENETO,1.915,2.286,2020-08-31
640,ABRUZZO,1.655,1.754,2020-09-30
641,BASILICATA,401,372,2020-09-30
642,CALABRIA,2.712,2.602,2020-09-30
643,CAMPANIA,6.062,6.475,2020-09-30
644,EMILIA ROMAGNA,2.995,3.134,2020-09-30
645,FRIULI VENEZIA GIULIA,464,632,2020-09-30
646,LAZIO,5.213,5.786,2020-09-30
647,LIGURIA,1.120,1.445,2020-09-30
648,LOMBARDIA,6.156,7.667,2020-09-30
649,MARCHE,846,834,2020-09-30
650,MOLISE,268,373,2020-09-30
651,PIEMONTE,3.938,4.293,2020-09-30
652,PUGLIA,2.688,3.503,2020-09-30
653,SARDEGNA,2.611,2.047,2020-09-30
654,SICILIA,6.441,5.905,2020-09-30
655,TOSCANA,3.101,3.247,2020-09-30
656,TRENTINO ALTO ADIGE,497,399,2020-09-30
657,UMBRIA,1.323,1.350,2020-09-30
658,VALLE D'AOSTA,177,188,2020-09-30
659,VENETO,1.902,2.271,2020-09-30
660,ABRUZZO,1.658,1.742,2020-10-31
661,BASILICATA,401,390,2020-10-31
662,CALABRIA,2.712,2.573,2020-10-31
663,CAMPANIA,6.052,6.648,2020-10-31
664,EMILIA ROMAGNA,2.995,3.190,2020-10-31
665,FRIULI VENEZIA GIULIA,464,631,2020-10-31
666,LAZIO,5.217,5.839,2020-10-31
667,LIGURIA,1.120,1.439,2020-10-31
668,LOMBARDIA,6.156,7.751,2020-10-31
669,MARCHE,846,855,2020-10-31
670,MOLISE,268,380,2020-10-31
671,PIEMONTE,3.918,4.289,2020-10-31
672,PUGLIA,2.686,3.622,2020-10-31
673,SARDEGNA,2.609,2.071,2020-10-31
674,SICILIA,6.449,5.895,2020-10-31
675,TOSCANA,3.101,3.273,2020-10-31
676,TRENTINO ALTO ADIGE,498,411,2020-10-31
677,UMBRIA,1.323,1.362,2020-10-31
678,VALLE D'AOSTA,177,186,2020-10-31
679,VENETO,1.903,2.321,2020-10-31
680,ABRUZZO,1.658,1.721,2020-11-30
681,BASILICATA,401,407,2020-11-30
682,CALABRIA,2.713,2.515,2020-11-30
683,CAMPANIA,6.052,6.548,2020-11-30
684,EMILIA ROMAGNA,2.993,3.176,2020-11-30
685,FRIULI VENEZIA GIULIA,464,626,2020-11-30
686,LAZIO,5.230,5.810,2020-11-30
687,LIGURIA,1.120,1.433,2020-11-30
688,LOMBARDIA,6.154,7.715,2020-11-30
689,MARCHE,846,843,2020-11-30
690,MOLISE,271,375,2020-11-30
691,PIEMONTE,3.918,4.254,2020-11-30
692,PUGLIA,2.686,3.560,2020-11-30
693,SARDEGNA,2.609,2.058,2020-11-30
694,SICILIA,6.449,5.883,2020-11-30
695,TOSCANA,3.098,3.248,2020-11-30
696,TRENTINO ALTO ADIGE,498,385,2020-11-30
697,UMBRIA,1.323,1.348,2020-11-30
698,VALLE D'AOSTA,177,169,2020-11-30
699,VENETO,1.908,2.294,2020-11-30
700,ABRUZZO,1.658,1.659,2020-12-31
701,BASILICATA,401,399,2020-12-31
702,CALABRIA,2.713,2.447,2020-12-31
703,CAMPANIA,6.052,6.403,2020-12-31
704,EMILIA ROMAGNA,2.993,3.139,2020-12-31
705,FRIULI VENEZIA GIULIA,466,600,2020-12-31
706,LAZIO,5.230,5.816,2020-12-31
707,LIGURIA,1.120,1.352,2020-12-31
708,LOMBARDIA,6.143,7.602,2020-12-31
709,MARCHE,846,847,2020-12-31
710,MOLISE,271,351,2020-12-31
711,PIEMONTE,3.918,4.175,2020-12-31
712,PUGLIA,2.686,3.501,2020-12-31
713,SARDEGNA,2.609,2.010,2020-12-31
714,SICILIA,6.449,5.733,2020-12-31
715,TOSCANA,3.100,3.204,2020-12-31
716,TRENTINO ALTO ADIGE,498,388,2020-12-31
717,UMBRIA,1.324,1.284,2020-12-31
718,VALLE D'AOSTA,177,172,2020-12-31
719,VENETO,1.908,2.282,2020-12-31
720,ABRUZZO,1.658,1.641,2021-01-31
721,BASILICATA,401,402,2021-01-31
722,CALABRIA,2.704,2.457,2021-01-31
723,CAMPANIA,6.052,6.417,2021-01-31
724,EMILIA ROMAGNA,2.993,3.194,2021-01-31
725,FRIULI VENEZIA GIULIA,467,621,2021-01-31
726,LAZIO,5.230,5.759,2021-01-31
727,LIGURIA,1.120,1.316,2021-01-31
728,LOMBARDIA,6.143,7.645,2021-01-31
729,MARCHE,846,832,2021-01-31
730,MOLISE,271,346,2021-01-31
731,PIEMONTE,3.919,4.178,2021-01-31
732,PUGLIA,2.686,3.514,2021-01-31
733,SARDEGNA,2.609,2.010,2021-01-31
734,SICILIA,6.447,5.727,2021-01-31
735,TOSCANA,3.098,3.159,2021-01-31
736,TRENTINO ALTO ADIGE,498,385,2021-01-31
737,UMBRIA,1.324,1.292,2021-01-31
738,VALLE D'AOSTA,177,164,2021-01-31
739,VENETO,1.908,2.270,2021-01-31
740,ABRUZZO,1.658,1.622,2021-02-28
741,BASILICATA,401,390,2021-02-28
742,CALABRIA,2.704,2.520,2021-02-28
743,CAMPANIA,6.054,6.519,2021-02-28
744,EMILIA ROMAGNA,2.993,3.270,2021-02-28
745,FRIULI VENEZIA GIULIA,467,637,2021-02-28
746,LAZIO,5.230,5.692,2021-02-28
747,LIGURIA,1.120,1.318,2021-02-28
748,LOMBARDIA,6.143,7.766,2021-02-28
749,MARCHE,846,857,2021-02-28
750,MOLISE,271,344,2021-02-28
751,PIEMONTE,3.918,4.144,2021-02-28
752,PUGLIA,2.686,3.538,2021-02-28
753,SARDEGNA,2.609,2.019,2021-02-28
754,SICILIA,6.447,5.793,2021-02-28
755,TOSCANA,3.098,3.124,2021-02-28
756,TRENTINO ALTO ADIGE,498,379,2021-02-28
757,UMBRIA,1.324,1.301,2021-02-28
758,VALLE D'AOSTA,177,172,2021-02-28
759,VENETO,1.907,2.292,2021-02-28
760,ABRUZZO,1.658,1.638,2021-03-31
761,BASILICATA,401,395,2021-03-31
762,CALABRIA,2.704,2.543,2021-03-31
763,CAMPANIA,6.085,6.458,2021-03-31
764,EMILIA ROMAGNA,2.992,3.276,2021-03-31
765,FRIULI VENEZIA GIULIA,467,639,2021-03-31
766,LAZIO,5.230,5.644,2021-03-31
767,LIGURIA,1.120,1.309,2021-03-31
768,LOMBARDIA,6.146,7.751,2021-03-31
769,MARCHE,846,830,2021-03-31
770,MOLISE,271,343,2021-03-31
771,PIEMONTE,3.918,4.144,2021-03-31
772,PUGLIA,2.882,3.543,2021-03-31
773,SARDEGNA,2.609,2.020,2021-03-31
774,SICILIA,6.447,5.755,2021-03-31
775,TOSCANA,3.097,3.094,2021-03-31
776,TRENTINO ALTO ADIGE,498,396,2021-03-31
777,UMBRIA,1.324,1.287,2021-03-31
778,VALLE D'AOSTA,177,172,2021-03-31
779,VENETO,1.907,2.272,2021-03-31
780,ABRUZZO,1.658,1.648,2021-04-30
781,BASILICATA,401,376,2021-04-30
782,CALABRIA,2.704,2.567,2021-04-30
783,CAMPANIA,6.087,6.554,2021-04-30
784,EMILIA ROMAGNA,2.993,3.277,2021-04-30
785,FRIULI VENEZIA GIULIA,467,648,2021-04-30
786,LAZIO,5.230,5.587,2021-04-30
787,LIGURIA,1.120,1.310,2021-04-30
788,LOMBARDIA,6.146,7.787,2021-04-30
789,MARCHE,846,849,2021-04-30
790,MOLISE,271,339,2021-04-30
791,PIEMONTE,3.918,4.119,2021-04-30
792,PUGLIA,2.882,3.585,2021-04-30
793,SARDEGNA,2.606,1.980,2021-04-30
794,SICILIA,6.447,5.738,2021-04-30
795,TOSCANA,3.097,3.075,2021-04-30
796,TRENTINO ALTO ADIGE,498,407,2021-04-30
797,UMBRIA,1.330,1.306,2021-04-30
798,VALLE D'AOSTA,177,164,2021-04-30
799,VENETO,1.907,2.292,2021-04-30
800,ABRUZZO,1.658,1.635,2021-05-31
801,BASILICATA,401,370,2021-05-31
802,CALABRIA,2.704,2.572,2021-05-31
803,CAMPANIA,6.084,6.554,2021-05-31
804,EMILIA ROMAGNA,2.996,3.241,2021-05-31
805,FRIULI VENEZIA GIULIA,467,631,2021-05-31
806,LAZIO,5.230,5.584,2021-05-31
807,LIGURIA,1.127,1.331,2021-05-31
808,LOMBARDIA,6.139,7.777,2021-05-31
809,MARCHE,846,839,2021-05-31
810,MOLISE,271,333,2021-05-31
811,PIEMONTE,3.917,4.046,2021-05-31
812,PUGLIA,2.882,3.688,2021-05-31
813,SARDEGNA,2.606,1.969,2021-05-31
814,SICILIA,6.443,5.817,2021-05-31
815,TOSCANA,3.097,3.090,2021-05-31
816,TRENTINO ALTO ADIGE,498,415,2021-05-31
817,UMBRIA,1.330,1.326,2021-05-31
818,VALLE D'AOSTA,177,157,2021-05-31
819,VENETO,1.907,2.285,2021-05-31
820,ABRUZZO,1.658,1.659,2021-06-30
821,BASILICATA,401,366,2021-06-30
822,CALABRIA,2.704,2.617,2021-06-30
823,CAMPANIA,6.084,6.533,2021-06-30
824,EMILIA ROMAGNA,2.996,3.250,2021-06-30
825,FRIULI VENEZIA GIULIA,467,617,2021-06-30
826,LAZIO,5.230,5.599,2021-06-30
827,LIGURIA,1.125,1.333,2021-06-30
828,LOMBARDIA,6.139,7.745,2021-06-30
829,MARCHE,846,840,2021-06-30
830,MOLISE,271,334,2021-06-30
831,PIEMONTE,3.917,4.009,2021-06-30
832,PUGLIA,2.882,3.679,2021-06-30
833,SARDEGNA,2.606,1.963,2021-06-30
834,SICILIA,6.443,5.817,2021-06-30
835,TOSCANA,3.098,3.076,2021-06-30
836,TRENTINO ALTO ADIGE,498,416,2021-06-30
837,UMBRIA,1.330,1.337,2021-06-30
838,VALLE D'AOSTA,177,149,2021-06-30
839,VENETO,1.907,2.298,2021-06-30
840,ABRUZZO,1.656,1.661,2021-07-31
841,BASILICATA,401,358,2021-07-31
842,CALABRIA,2.704,2.604,2021-07-31
843,CAMPANIA,6.107,6.413,2021-07-31
844,EMILIA ROMAGNA,2.996,3.192,2021-07-31
845,FRIULI VENEZIA GIULIA,467,624,2021-07-31
846,LAZIO,5.239,5.544,2021-07-31
847,LIGURIA,1.125,1.328,2021-07-31
848,LOMBARDIA,6.139,7.623,2021-07-31
849,MARCHE,846,819,2021-07-31
850,MOLISE,271,333,2021-07-31
851,PIEMONTE,3.955,3.960,2021-07-31
852,PUGLIA,2.890,3.662,2021-07-31
853,SARDEGNA,2.605,1.925,2021-07-31
854,SICILIA,6.443,5.891,2021-07-31
855,TOSCANA,3.117,3.032,2021-07-31
856,TRENTINO ALTO ADIGE,498,408,2021-07-31
857,UMBRIA,1.334,1.346,2021-07-31
858,VALLE D'AOSTA,177,140,2021-07-31
859,VENETO,1.907,2.266,2021-07-31
860,ABRUZZO,1.656,1.693,2021-08-31
861,BASILICATA,399,357,2021-08-31
862,CALABRIA,2.704,2.617,2021-08-31
863,CAMPANIA,6.108,6.432,2021-08-31
864,EMILIA ROMAGNA,2.996,3.224,2021-08-31
865,FRIULI VENEZIA GIULIA,467,644,2021-08-31
866,LAZIO,5.231,5.583,2021-08-31
867,LIGURIA,1.125,1.345,2021-08-31
868,LOMBARDIA,6.139,7.736,2021-08-31
869,MARCHE,846,833,2021-08-31
870,MOLISE,271,336,2021-08-31
871,PIEMONTE,3.955,4.002,2021-08-31
872,PUGLIA,2.888,3.708,2021-08-31
873,SARDEGNA,2.605,1.961,2021-08-31
874,SICILIA,6.443,5.888,2021-08-31
875,TOSCANA,3.117,3.041,2021-08-31
876,TRENTINO ALTO ADIGE,498,404,2021-08-31
877,UMBRIA,1.335,1.366,2021-08-31
878,VALLE D'AOSTA,177,141,2021-08-31
879,VENETO,1.907,2.246,2021-08-31
880,ABRUZZO,1.656,1.705,2021-09-30
881,BASILICATA,399,358,2021-09-30
882,CALABRIA,2.703,2.635,2021-09-30
883,CAMPANIA,6.101,6.547,2021-09-30
884,EMILIA ROMAGNA,2.998,3.281,2021-09-30
885,FRIULI VENEZIA GIULIA,463,646,2021-09-30
886,LAZIO,5.231,5.580,2021-09-30
887,LIGURIA,1.125,1.355,2021-09-30
888,LOMBARDIA,6.139,7.763,2021-09-30
889,MARCHE,846,823,2021-09-30
890,MOLISE,271,319,2021-09-30
891,PIEMONTE,3.955,4.011,2021-09-30
892,PUGLIA,2.888,3.716,2021-09-30
893,SARDEGNA,2.605,1.985,2021-09-30
894,SICILIA,6.443,5.934,2021-09-30
895,TOSCANA,3.117,3.077,2021-09-30
896,TRENTINO ALTO ADIGE,498,415,2021-09-30
897,UMBRIA,1.335,1.377,2021-09-30
898,VALLE D'AOSTA,177,134,2021-09-30
899,VENETO,1.907,2.269,2021-09-30
900,ABRUZZO,1.656,1.716,2021-10-31
901,BASILICATA,399,367,2021-10-31
902,CALABRIA,2.703,2.691,2021-10-31
903,CAMPANIA,6.106,6.668,2021-10-31
904,EMILIA ROMAGNA,2.998,3.284,2021-10-31
905,FRIULI VENEZIA GIULIA,463,627,2021-10-31
906,LAZIO,5.231,5.610,2021-10-31
907,LIGURIA,1.109,1.343,2021-10-31
908,LOMBARDIA,6.139,7.797,2021-10-31
909,MARCHE,846,833,2021-10-31
910,MOLISE,271,317,2021-10-31
911,PIEMONTE,3.955,4.080,2021-10-31
912,PUGLIA,2.888,3.741,2021-10-31
913,SARDEGNA,2.605,1.988,2021-10-31
914,SICILIA,6.448,5.934,2021-10-31
915,TOSCANA,3.117,3.081,2021-10-31
916,TRENTINO ALTO ADIGE,498,413,2021-10-31
917,UMBRIA,1.335,1.425,2021-10-31
918,VALLE D'AOSTA,177,128,2021-10-31
919,VENETO,1.907,2.264,2021-10-31
920,ABRUZZO,1.656,1.747,2021-11-30
921,BASILICATA,399,382,2021-11-30
922,CALABRIA,2.704,2.704,2021-11-30
923,CAMPANIA,6.108,6.730,2021-11-30
924,EMILIA ROMAGNA,2.998,3.303,2021-11-30
925,FRIULI VENEZIA GIULIA,463,621,2021-11-30
926,LAZIO,5.231,5.569,2021-11-30
927,LIGURIA,1.109,1.337,2021-11-30
928,LOMBARDIA,6.129,7.869,2021-11-30
929,MARCHE,846,830,2021-11-30
930,MOLISE,271,313,2021-11-30
931,PIEMONTE,3.955,4.072,2021-11-30
932,PUGLIA,2.882,3.791,2021-11-30
933,SARDEGNA,2.575,1.989,2021-11-30
934,SICILIA,6.449,6.002,2021-11-30
935,TOSCANA,3.117,3.079,2021-11-30
936,TRENTINO ALTO ADIGE,498,403,2021-11-30
937,UMBRIA,1.335,1.432,2021-11-30
938,VALLE D'AOSTA,177,142,2021-11-30
939,VENETO,1.907,2.278,2021-11-30
940,ABRUZZO,1.656,1.735,2021-12-31
941,BASILICATA,399,376,2021-12-31
942,CALABRIA,2.704,2.681,2021-12-31
943,CAMPANIA,6.114,6.674,2021-12-31
944,EMILIA ROMAGNA,2.998,3.261,2021-12-31
945,FRIULI VENEZIA GIULIA,463,580,2021-12-31
946,LAZIO,5.231,5.548,2021-12-31
947,LIGURIA,1.109,1.307,2021-12-31
948,LOMBARDIA,6.129,7.838,2021-12-31
949,MARCHE,846,846,2021-12-31
950,MOLISE,271,312,2021-12-31
951,PIEMONTE,3.951,4.027,2021-12-31
952,PUGLIA,2.907,3.760,2021-12-31
953,SARDEGNA,2.575,1.968,2021-12-31
954,SICILIA,6.448,5.958,2021-12-31
955,TOSCANA,3.117,3.028,2021-12-31
956,TRENTINO ALTO ADIGE,498,416,2021-12-31
957,UMBRIA,1.335,1.398,2021-12-31
958,VALLE D'AOSTA,177,138,2021-12-31
959,VENETO,1.907,2.283,2021-12-31
960,ABRUZZO,1.656,1.731,2022-01-31
961,BASILICATA,397,364,2022-01-31
962,CALABRIA,2.704,2.662,2022-01-31
963,CAMPANIA,6.113,6.702,2022-01-31
964,EMILIA ROMAGNA,2.998,3.314,2022-01-31
965,FRIULI VENEZIA GIULIA,463,587,2022-01-31
966,LAZIO,5.231,5.555,2022-01-31
967,LIGURIA,1.109,1.308,2022-01-31
