,Region,Capacity,Present,Date,Occupancy Rate,Region Group
0,ABRUZZO,1.608,1.876,2018-01-31,0.16666666666666652,sud
1,BASILICATA,416.0,531.0,2018-01-31,0.2764423076923077,sud
2,CALABRIA,2.7,2.637,2018-01-31,-0.023333333333333428,sud
3,CAMPANIA,6.161,7.321,2018-01-31,0.1882811231942867,sud
4,EMILIA ROMAGNA,2.811,3.463,2018-01-31,0.23194592671647096,nord-est
5,FRIULI VENEZIA GIULIA,480.0,678.0,2018-01-31,0.4125000000000001,nord-est
6,LAZIO,5.258,6.326,2018-01-31,0.20311905667554186,centro
7,LIGURIA,1.118,1.403,2018-01-31,0.25491949910554546,centro
8,LOMBARDIA,6.226,8.527,2018-01-31,0.36957918406681656,centro
9,MARCHE,898.0,934.0,2018-01-31,0.04008908685968815,centro
10,MOLISE,264.0,417.0,2018-01-31,0.5795454545454546,sud
11,PIEMONTE,3.974,4.236,2018-01-31,0.06592853548062405,centro
12,PUGLIA,2.337,3.408,2018-01-31,0.4582798459563542,sud
13,SARDEGNA,2.713,2.336,2018-01-31,-0.13896056026538894,isole
14,SICILIA,6.443,6.396,2018-01-31,-0.007294738475865259,isole
15,TOSCANA,3.145,3.305,2018-01-31,0.050874403815580393,centro
16,TRENTINO ALTO ADIGE,506.0,418.0,2018-01-31,-0.17391304347826086,nord-est
17,UMBRIA,1.331,1.386,2018-01-31,0.04132231404958664,centro
18,VALLE D'AOSTA,181.0,188.0,2018-01-31,0.03867403314917128,centro
19,VENETO,1.947,2.301,2018-01-31,0.18181818181818188,nord-est
20,ABRUZZO,1.643,1.887,2018-02-28,0.14850882531953746,sud
21,BASILICATA,413.0,521.0,2018-02-28,0.2615012106537531,sud
22,CALABRIA,2.7,2.65,2018-02-28,-0.0185185185185186,sud
23,CAMPANIA,6.16,7.364,2018-02-28,0.19545454545454533,sud
24,EMILIA ROMAGNA,2.811,3.464,2018-02-28,0.2323016720028459,nord-est
25,FRIULI VENEZIA GIULIA,480.0,686.0,2018-02-28,0.4291666666666667,nord-est
26,LAZIO,5.257,6.265,2018-02-28,0.1917443408788282,centro
27,LIGURIA,1.137,1.445,2018-02-28,0.2708883025505717,centro
28,LOMBARDIA,6.226,8.54,2018-02-28,0.37166720205589443,centro
29,MARCHE,898.0,944.0,2018-02-28,0.05122494432071267,centro
30,MOLISE,264.0,420.0,2018-02-28,0.5909090909090908,sud
31,PIEMONTE,3.974,4.175,2018-02-28,0.05057876195269251,centro
32,PUGLIA,2.337,3.469,2018-02-28,0.48438168592212216,sud
33,SARDEGNA,2.713,2.33,2018-02-28,-0.1411721341688168,isole
34,SICILIA,6.466,6.398,2018-02-28,-0.010516548097742162,isole
35,TOSCANA,3.145,3.316,2018-02-28,0.054372019077901346,centro
36,TRENTINO ALTO ADIGE,506.0,408.0,2018-02-28,-0.19367588932806323,nord-est
37,UMBRIA,1.331,1.384,2018-02-28,0.03981968444778361,centro
38,VALLE D'AOSTA,181.0,176.0,2018-02-28,-0.027624309392265234,centro
39,VENETO,1.947,2.321,2018-02-28,0.192090395480226,nord-est
40,ABRUZZO,1.643,1.903,2018-03-31,0.15824710894704808,sud
41,BASILICATA,413.0,506.0,2018-03-31,0.2251815980629539,sud
42,CALABRIA,2.734,2.659,2018-03-31,-0.027432333577176338,sud
43,CAMPANIA,6.162,7.347,2018-03-31,0.1923076923076923,sud
44,EMILIA ROMAGNA,2.811,3.435,2018-03-31,0.22198505869797236,nord-est
45,FRIULI VENEZIA GIULIA,480.0,675.0,2018-03-31,0.40625,nord-est
46,LAZIO,5.257,6.303,2018-03-31,0.19897279817386337,centro
47,LIGURIA,1.129,1.433,2018-03-31,0.2692648361381753,centro
48,LOMBARDIA,6.226,8.574,2018-03-31,0.37712817218117567,centro
49,MARCHE,898.0,911.0,2018-03-31,0.014476614699331813,centro
50,MOLISE,263.0,421.0,2018-03-31,0.6007604562737643,sud
51,PIEMONTE,3.975,4.25,2018-03-31,0.0691823899371069,centro
52,PUGLIA,2.329,3.47,2018-03-31,0.48990983254615705,sud
53,SARDEGNA,2.713,2.337,2018-03-31,-0.1385919646148175,isole
54,SICILIA,6.47,6.321,2018-03-31,-0.02302936630602781,isole
55,TOSCANA,3.145,3.311,2018-03-31,0.05278219395866457,centro
56,TRENTINO ALTO ADIGE,506.0,410.0,2018-03-31,-0.18972332015810278,nord-est
57,UMBRIA,1.331,1.414,2018-03-31,0.06235912847483083,centro
58,VALLE D'AOSTA,181.0,201.0,2018-03-31,0.11049723756906071,centro
59,VENETO,1.947,2.342,2018-03-31,0.2028762198253724,nord-est
60,ABRUZZO,1.643,1.914,2018-04-30,0.16494217894096153,sud
61,BASILICATA,413.0,512.0,2018-04-30,0.23970944309927367,sud
62,CALABRIA,2.734,2.644,2018-04-30,-0.032918800292611516,sud
63,CAMPANIA,6.162,7.412,2018-04-30,0.20285621551444333,sud
64,EMILIA ROMAGNA,2.811,3.48,2018-04-30,0.2379935965848452,nord-est
65,FRIULI VENEZIA GIULIA,480.0,642.0,2018-04-30,0.3374999999999999,nord-est
66,LAZIO,5.257,6.363,2018-04-30,0.21038615179760334,centro
67,LIGURIA,1.129,1.441,2018-04-30,0.27635075287865374,centro
68,LOMBARDIA,6.226,8.482,2018-04-30,0.3623514294892385,centro
69,MARCHE,898.0,899.0,2018-04-30,0.00111358574610243,centro
70,MOLISE,263.0,421.0,2018-04-30,0.6007604562737643,sud
71,PIEMONTE,3.975,4.283,2018-04-30,0.07748427672955982,centro
72,PUGLIA,2.329,3.48,2018-04-30,0.494203520824388,sud
73,SARDEGNA,2.713,2.307,2018-04-30,-0.14964983413195732,isole
74,SICILIA,6.476,6.312,2018-04-30,-0.025324274243360034,isole
75,TOSCANA,3.145,3.359,2018-04-30,0.06804451510333864,centro
76,TRENTINO ALTO ADIGE,506.0,404.0,2018-04-30,-0.20158102766798414,nord-est
77,UMBRIA,1.331,1.391,2018-04-30,0.04507888805409466,centro
78,VALLE D'AOSTA,181.0,202.0,2018-04-30,0.11602209944751385,centro
79,VENETO,1.947,2.337,2018-04-30,0.20030816640986138,nord-est
80,ABRUZZO,1.643,1.885,2018-05-31,0.14729153986609855,sud
81,BASILICATA,413.0,509.0,2018-05-31,0.23244552058111378,sud
82,CALABRIA,2.734,2.707,2018-05-31,-0.009875640087783522,sud
83,CAMPANIA,6.161,7.495,2018-05-31,0.21652329167342965,sud
84,EMILIA ROMAGNA,2.808,3.53,2018-05-31,0.25712250712250717,nord-est
85,FRIULI VENEZIA GIULIA,480.0,650.0,2018-05-31,0.35416666666666674,nord-est
86,LAZIO,5.272,6.368,2018-05-31,0.2078907435508346,centro
87,LIGURIA,1.129,1.442,2018-05-31,0.2772364924712134,centro
88,LOMBARDIA,6.226,8.55,2018-05-31,0.37327336973980096,centro
89,MARCHE,898.0,902.0,2018-05-31,0.00445434298440972,centro
90,MOLISE,270.0,422.0,2018-05-31,0.5629629629629629,sud
91,PIEMONTE,3.972,4.323,2018-05-31,0.08836858006042303,centro
92,PUGLIA,2.322,3.529,2018-05-31,0.5198105081826012,sud
93,SARDEGNA,2.713,2.258,2018-05-31,-0.16771102100995205,isole
94,SICILIA,6.464,6.31,2018-05-31,-0.02382425742574268,isole
95,TOSCANA,3.145,3.345,2018-05-31,0.06359300476947549,centro
96,TRENTINO ALTO ADIGE,506.0,417.0,2018-05-31,-0.1758893280632411,nord-est
97,UMBRIA,1.331,1.389,2018-05-31,0.04357625845229163,centro
98,VALLE D'AOSTA,181.0,215.0,2018-05-31,0.18784530386740328,centro
99,VENETO,1.947,2.323,2018-05-31,0.19311761684643036,nord-est
100,ABRUZZO,1.643,1.914,2018-06-30,0.16494217894096153,sud
101,BASILICATA,413.0,533.0,2018-06-30,0.2905569007263922,sud
102,CALABRIA,2.734,2.775,2018-06-30,0.014996342355523051,sud
103,CAMPANIA,6.161,7.459,2018-06-30,0.2106800844018828,sud
104,EMILIA ROMAGNA,2.808,3.56,2018-06-30,0.2678062678062678,nord-est
105,FRIULI VENEZIA GIULIA,480.0,628.0,2018-06-30,0.30833333333333335,nord-est
106,LAZIO,5.27,6.398,2018-06-30,0.21404174573055035,centro
107,LIGURIA,1.129,1.455,2018-06-30,0.2887511071744908,centro
108,LOMBARDIA,6.226,8.5,2018-06-30,0.36524253132026985,centro
109,MARCHE,898.0,898.0,2018-06-30,0.0,centro
110,MOLISE,270.0,418.0,2018-06-30,0.548148148148148,sud
111,PIEMONTE,3.978,4.356,2018-06-30,0.09502262443438902,centro
112,PUGLIA,2.322,3.578,2018-06-30,0.540913006029285,sud
113,SARDEGNA,2.713,2.248,2018-06-30,-0.1713969775156653,isole
114,SICILIA,6.476,6.376,2018-06-30,-0.01544163063619508,isole
115,TOSCANA,3.146,3.333,2018-06-30,0.05944055944055959,centro
116,TRENTINO ALTO ADIGE,506.0,416.0,2018-06-30,-0.17786561264822132,nord-est
117,UMBRIA,1.331,1.369,2018-06-30,0.02854996243426,centro
118,VALLE D'AOSTA,181.0,226.0,2018-06-30,0.24861878453038666,centro
119,VENETO,1.947,2.319,2018-06-30,0.1910631741140214,nord-est
120,ABRUZZO,1.643,1.942,2018-07-31,0.18198417528910515,sud
121,BASILICATA,413.0,552.0,2018-07-31,0.3365617433414043,sud
122,CALABRIA,2.734,2.753,2018-07-31,0.006949524506218108,sud
123,CAMPANIA,6.161,7.41,2018-07-31,0.20272683006005532,sud
124,EMILIA ROMAGNA,2.808,3.536,2018-07-31,0.2592592592592593,nord-est
125,FRIULI VENEZIA GIULIA,480.0,623.0,2018-07-31,0.2979166666666666,nord-est
126,LAZIO,5.27,6.314,2018-07-31,0.198102466793169,centro
127,LIGURIA,1.129,1.455,2018-07-31,0.2887511071744908,centro
128,LOMBARDIA,6.226,8.369,2018-07-31,0.3442017346610986,centro
129,MARCHE,898.0,923.0,2018-07-31,0.027839643652561197,centro
130,MOLISE,270.0,413.0,2018-07-31,0.5296296296296297,sud
131,PIEMONTE,3.976,4.38,2018-07-31,0.10160965794768617,centro
132,PUGLIA,2.322,3.538,2018-07-31,0.5236864771748491,sud
133,SARDEGNA,2.713,2.235,2018-07-31,-0.17618872097309257,isole
134,SICILIA,6.471,6.359,2018-07-31,-0.017307989491577858,isole
135,TOSCANA,3.146,3.337,2018-07-31,0.06071201525746983,centro
136,TRENTINO ALTO ADIGE,506.0,412.0,2018-07-31,-0.18577075098814233,nord-est
137,UMBRIA,1.331,1.39,2018-07-31,0.04432757325319314,centro
138,VALLE D'AOSTA,181.0,228.0,2018-07-31,0.2596685082872927,centro
139,VENETO,1.946,2.337,2018-07-31,0.20092497430626932,nord-est
140,ABRUZZO,1.64,1.96,2018-08-31,0.19512195121951215,sud
141,BASILICATA,413.0,570.0,2018-08-31,0.38014527845036317,sud
142,CALABRIA,2.734,2.698,2018-08-31,-0.013167520117044584,sud
143,CAMPANIA,6.161,7.477,2018-08-31,0.21360168803765633,sud
144,EMILIA ROMAGNA,2.806,3.576,2018-08-31,0.27441197434069853,nord-est
145,FRIULI VENEZIA GIULIA,480.0,629.0,2018-08-31,0.31041666666666656,nord-est
146,LAZIO,5.27,6.4,2018-08-31,0.21442125237191667,centro
147,LIGURIA,1.128,1.489,2018-08-31,0.3200354609929079,centro
148,LOMBARDIA,6.226,8.44,2018-08-31,0.35560552521683264,centro
149,MARCHE,898.0,940.0,2018-08-31,0.04677060133630295,centro
150,MOLISE,270.0,393.0,2018-08-31,0.4555555555555555,sud
151,PIEMONTE,3.976,4.445,2018-08-31,0.11795774647887325,centro
152,PUGLIA,2.322,3.611,2018-08-31,0.5551248923341947,sud
153,SARDEGNA,2.713,2.257,2018-08-31,-0.1680796166605234,isole
154,SICILIA,6.475,6.4,2018-08-31,-0.011583011583011449,isole
155,TOSCANA,3.146,3.386,2018-08-31,0.07628734901462186,centro
156,TRENTINO ALTO ADIGE,506.0,430.0,2018-08-31,-0.15019762845849804,nord-est
157,UMBRIA,1.331,1.4,2018-08-31,0.05184072126220873,centro
158,VALLE D'AOSTA,181.0,229.0,2018-08-31,0.26519337016574585,centro
159,VENETO,1.946,2.405,2018-08-31,0.23586844809866392,nord-est
160,ABRUZZO,1.64,1.95,2018-09-30,0.18902439024390238,sud
161,BASILICATA,413.0,564.0,2018-09-30,0.3656174334140436,sud
162,CALABRIA,2.734,2.752,2018-09-30,0.006583760058522126,sud
163,CAMPANIA,6.163,7.515,2018-09-30,0.21937368164854765,sud
164,EMILIA ROMAGNA,2.805,3.584,2018-09-30,0.27771836007130113,nord-est
165,FRIULI VENEZIA GIULIA,480.0,635.0,2018-09-30,0.32291666666666674,nord-est
166,LAZIO,5.27,6.375,2018-09-30,0.20967741935483875,centro
167,LIGURIA,1.128,1.481,2018-09-30,0.31294326241134773,centro
168,LOMBARDIA,6.226,8.439,2018-09-30,0.3554449084484421,centro
169,MARCHE,897.0,938.0,2018-09-30,0.04570791527313256,centro
170,MOLISE,270.0,408.0,2018-09-30,0.5111111111111111,sud
171,PIEMONTE,3.976,4.432,2018-09-30,0.11468812877263601,centro
172,PUGLIA,2.322,3.689,2018-09-30,0.5887166236003445,sud
173,SARDEGNA,2.7,2.216,2018-09-30,-0.17925925925925923,isole
174,SICILIA,6.485,6.413,2018-09-30,-0.011102544333076336,isole
175,TOSCANA,3.146,3.432,2018-09-30,0.09090909090909083,centro
176,TRENTINO ALTO ADIGE,506.0,417.0,2018-09-30,-0.1758893280632411,nord-est
177,UMBRIA,1.334,1.409,2018-09-30,0.05622188905547221,centro
178,VALLE D'AOSTA,181.0,223.0,2018-09-30,0.2320441988950277,centro
179,VENETO,1.946,2.403,2018-09-30,0.23484069886947578,nord-est
180,ABRUZZO,1.64,1.95,2018-10-31,0.18902439024390238,sud
181,BASILICATA,413.0,560.0,2018-10-31,0.35593220338983045,sud
182,CALABRIA,2.734,2.787,2018-10-31,0.019385515727871283,sud
183,CAMPANIA,6.142,7.627,2018-10-31,0.24177792250081387,sud
184,EMILIA ROMAGNA,2.805,3.645,2018-10-31,0.2994652406417111,nord-est
185,FRIULI VENEZIA GIULIA,480.0,625.0,2018-10-31,0.30208333333333326,nord-est
186,LAZIO,5.27,6.492,2018-10-31,0.23187855787476286,centro
187,LIGURIA,1.128,1.508,2018-10-31,0.3368794326241136,centro
188,LOMBARDIA,6.223,8.507,2018-10-31,0.3670255503776314,centro
189,MARCHE,897.0,934.0,2018-10-31,0.04124860646599782,centro
190,MOLISE,270.0,385.0,2018-10-31,0.4259259259259258,sud
191,PIEMONTE,3.976,4.455,2018-10-31,0.12047283702213285,centro
192,PUGLIA,2.322,3.732,2018-10-31,0.6072351421188631,sud
193,SARDEGNA,2.7,2.212,2018-10-31,-0.18074074074074076,isole
194,SICILIA,6.503,6.512,2018-10-31,0.0013839766261725117,isole
195,TOSCANA,3.146,3.372,2018-10-31,0.07183725365543547,centro
196,TRENTINO ALTO ADIGE,506.0,441.0,2018-10-31,-0.12845849802371545,nord-est
197,UMBRIA,1.334,1.432,2018-10-31,0.07346326836581696,centro
198,VALLE D'AOSTA,181.0,223.0,2018-10-31,0.2320441988950277,centro
199,VENETO,1.946,2.404,2018-10-31,0.23535457348406985,nord-est
200,ABRUZZO,1.64,1.974,2018-11-30,0.2036585365853658,sud
201,BASILICATA,413.0,560.0,2018-11-30,0.35593220338983045,sud
202,CALABRIA,2.734,2.822,2018-11-30,0.03218727139722022,sud
203,CAMPANIA,6.142,7.699,2018-11-30,0.2535004884402474,sud
204,EMILIA ROMAGNA,2.805,3.569,2018-11-30,0.2723707664884134,nord-est
205,FRIULI VENEZIA GIULIA,480.0,630.0,2018-11-30,0.3125,nord-est
206,LAZIO,5.259,6.517,2018-11-30,0.23920897509032124,centro
207,LIGURIA,1.128,1.512,2018-11-30,0.34042553191489366,centro
208,LOMBARDIA,6.223,8.546,2018-11-30,0.3732926241362686,centro
209,MARCHE,897.0,949.0,2018-11-30,0.05797101449275366,centro
210,MOLISE,270.0,381.0,2018-11-30,0.4111111111111112,sud
211,PIEMONTE,3.976,4.483,2018-11-30,0.12751509054325938,centro
212,PUGLIA,2.322,3.731,2018-11-30,0.606804478897502,sud
213,SARDEGNA,2.706,2.204,2018-11-30,-0.1855136733185513,isole
214,SICILIA,6.499,6.538,2018-11-30,0.006000923218956844,isole
215,TOSCANA,3.146,3.406,2018-11-30,0.08264462809917372,centro
216,TRENTINO ALTO ADIGE,506.0,455.0,2018-11-30,-0.10079051383399207,nord-est
217,UMBRIA,1.334,1.4,2018-11-30,0.0494752623688155,centro
218,VALLE D'AOSTA,181.0,223.0,2018-11-30,0.2320441988950277,centro
219,VENETO,1.922,2.403,2018-11-30,0.25026014568158184,nord-est
220,ABRUZZO,1.64,1.973,2018-12-31,0.20304878048780495,sud
221,BASILICATA,413.0,559.0,2018-12-31,0.35351089588377715,sud
222,CALABRIA,2.734,2.805,2018-12-31,0.02596927578639363,sud
223,CAMPANIA,6.142,7.66,2018-12-31,0.24715076522305424,sud
224,EMILIA ROMAGNA,2.805,3.554,2018-12-31,0.2670231729055257,nord-est
225,FRIULI VENEZIA GIULIA,480.0,641.0,2018-12-31,0.3354166666666667,nord-est
226,LAZIO,5.256,6.534,2018-12-31,0.24315068493150682,centro
227,LIGURIA,1.128,1.474,2018-12-31,0.30673758865248235,centro
228,LOMBARDIA,6.226,8.494,2018-12-31,0.36427883070992606,centro
229,MARCHE,897.0,929.0,2018-12-31,0.035674470457079055,centro
230,MOLISE,270.0,387.0,2018-12-31,0.43333333333333335,sud
231,PIEMONTE,3.976,4.478,2018-12-31,0.1262575452716297,centro
232,PUGLIA,2.322,3.646,2018-12-31,0.5701981050818259,sud
233,SARDEGNA,2.706,2.159,2018-12-31,-0.20214338507021434,isole
234,SICILIA,6.497,6.469,2018-12-31,-0.004309681391411302,isole
235,TOSCANA,3.146,3.406,2018-12-31,0.08264462809917372,centro
236,TRENTINO ALTO ADIGE,506.0,400.0,2018-12-31,-0.20948616600790515,nord-est
237,UMBRIA,1.334,1.431,2018-12-31,0.07271364317841078,centro
238,VALLE D'AOSTA,181.0,221.0,2018-12-31,0.22099447513812165,centro
239,VENETO,1.922,2.435,2018-12-31,0.26690946930280957,nord-est
240,ABRUZZO,1.627,1.949,2019-01-31,0.1979102642901045,sud
241,BASILICATA,413.0,520.0,2019-01-31,0.2590799031476998,sud
242,CALABRIA,2.734,2.902,2019-01-31,0.06144842721287502,sud
243,CAMPANIA,6.134,7.787,2019-01-31,0.26948157808933804,sud
244,EMILIA ROMAGNA,2.805,3.569,2019-01-31,0.2723707664884134,nord-est
245,FRIULI VENEZIA GIULIA,480.0,651.0,2019-01-31,0.35624999999999996,nord-est
246,LAZIO,5.258,6.58,2019-01-31,0.2514263978699125,centro
247,LIGURIA,1.128,1.474,2019-01-31,0.30673758865248235,centro
248,LOMBARDIA,6.226,8.54,2019-01-31,0.37166720205589443,centro
249,MARCHE,897.0,940.0,2019-01-31,0.047937569676700154,centro
250,MOLISE,270.0,377.0,2019-01-31,0.39629629629629637,sud
251,PIEMONTE,3.976,4.491,2019-01-31,0.12952716297786715,centro
252,PUGLIA,2.319,3.718,2019-01-31,0.6032772746873654,sud
253,SARDEGNA,2.706,2.15,2019-01-31,-0.2054693274205469,isole
254,SICILIA,6.493,6.553,2019-01-31,0.009240720776220401,isole
255,TOSCANA,3.146,3.392,2019-01-31,0.07819453273998733,centro
256,TRENTINO ALTO ADIGE,506.0,386.0,2019-01-31,-0.23715415019762842,nord-est
257,UMBRIA,1.329,1.44,2019-01-31,0.08352144469525968,centro
258,VALLE D'AOSTA,181.0,227.0,2019-01-31,0.2541436464088398,centro
259,VENETO,1.922,2.479,2019-01-31,0.289802289281998,nord-est
260,ABRUZZO,1.627,1.979,2019-02-28,0.21634910878918268,sud
261,BASILICATA,413.0,495.0,2019-02-28,0.1985472154963681,sud
262,CALABRIA,2.734,2.931,2019-02-28,0.07205559619604984,sud
263,CAMPANIA,6.138,7.795,2019-02-28,0.26995764092538277,sud
264,EMILIA ROMAGNA,2.805,3.621,2019-02-28,0.2909090909090908,nord-est
265,FRIULI VENEZIA GIULIA,480.0,666.0,2019-02-28,0.38749999999999996,nord-est
266,LAZIO,5.258,6.583,2019-02-28,0.2519969570178775,centro
267,LIGURIA,1.128,1.487,2019-02-28,0.31826241134751787,centro
268,LOMBARDIA,6.198,8.605,2019-02-28,0.38835108099386906,centro
269,MARCHE,897.0,936.0,2019-02-28,0.04347826086956519,centro
270,MOLISE,270.0,380.0,2019-02-28,0.40740740740740744,sud
271,PIEMONTE,3.976,4.513,2019-02-28,0.13506036217303818,centro
272,PUGLIA,2.319,3.736,2019-02-28,0.6110392410521779,sud
273,SARDEGNA,2.706,2.145,2019-02-28,-0.20731707317073167,isole
274,SICILIA,6.493,6.508,2019-02-28,0.002310180194055045,isole
275,TOSCANA,3.146,3.428,2019-02-28,0.08963763509218059,centro
276,TRENTINO ALTO ADIGE,506.0,379.0,2019-02-28,-0.2509881422924901,nord-est
277,UMBRIA,1.329,1.43,2019-02-28,0.07599699021820916,centro
278,VALLE D'AOSTA,181.0,234.0,2019-02-28,0.2928176795580111,centro
279,VENETO,1.918,2.497,2019-02-28,0.3018769551616267,nord-est
280,ABRUZZO,1.627,2.018,2019-03-31,0.2403196066379838,sud
281,BASILICATA,413.0,449.0,2019-03-31,0.0871670702179177,sud
282,CALABRIA,2.734,2.882,2019-03-31,0.05413313825896138,sud
283,CAMPANIA,6.136,7.835,2019-03-31,0.27689048239895686,sud
284,EMILIA ROMAGNA,2.805,3.641,2019-03-31,0.29803921568627434,nord-est
285,FRIULI VENEZIA GIULIA,480.0,675.0,2019-03-31,0.40625,nord-est
286,LAZIO,5.258,6.562,2019-03-31,0.2480030429821225,centro
287,LIGURIA,1.124,1.527,2019-03-31,0.3585409252669036,centro
288,LOMBARDIA,6.197,8.635,2019-03-31,0.3934161691140874,centro
289,MARCHE,897.0,924.0,2019-03-31,0.030100334448160515,centro
290,MOLISE,270.0,407.0,2019-03-31,0.5074074074074073,sud
