Years,Value,Value_tot
1984,0.08,24
1985,0.1,30
1986,0.226666667,68
1987,0.283333333,85
1988,0.323333333,97
1989,0.386666667,116
1990,0.263333333,79
1991,0.21,63
1992,0.303333333,91
1993,0.476666667,143
1994,2.113333333,634
1995,0.926666667,278
1996,0.963333333,289
1997,0.963333333,289
1998,0.973333333,292
1999,0.85,255
2000,1.536666667,461
2001,3.356666667,1007
2002,3.733333333,1120
2003,2.986666667,896
2004,4.893333333,1468
2005,2.8,840
2006,3.636666667,1091
2007,2.11,633
2008,5.096666667,1529
2009,6.296666667,1889
2010,8.306666667,2492
2011,9.443333333,2833
2012,5.283333333,1585
2013,10.43333333,3130
2014,5.67,1701
2015,4.016666667,1205
2016,2.52,756
2017,2.486666667,746
2018,3.123333333,937
2019,1.326666667,398
2020,1.02,306
2021,1.506666667,452
2022,2.796666667,839
2023,2.193333333,658